objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Age of War","155695","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","25166862","6.21036","6.43514","1.1131","1577","8415","thing","Age of War","2","6","30","30","15","2014","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Agents","141932","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735133","5.9105","6.34581","2.3678","2707","3012","thing","The Agents","2","5","40","40","20","2013","2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","7","","0","0","0","0","0","0","0","0","0","3","","","","","","22673091","7.87004","7.97573","3.637","28","70613","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Airlines Europe","90419","0","","0","0","0","0","0","0","0","0","1","3","","","","","","28888994","7.00252","7.32201","2.4381","362","7461","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists","161970","7","","0","1","0","0","0","0","0","0","0","1","","","","","","25166875","7.47755","7.69439","3.8754","96","20450","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alhambra","6249","7","","0","0","0","0","0","0","0","0","0","3","","","","","","46956642","6.92088","7.02514","2.1123","437","31487","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alhambra: Big Box","45358","0","","0","0","0","0","0","0","0","0","1","3","","","","","","30581761","6.99189","7.52761","2.3393","0","8062","thing","Alhambra: Big Box","2","6","60","60","60","2009","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Alien Frontiers","48726","10","","0","1","0","0","0","0","0","0","0","3","","","","","","23030963","7.24908","7.43887","2.5741","196","13922","thing","Alien Frontiers","2","4","90","90","90","2010","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alien Frontiers: Faction Pack #1","107407","0","","0","1","0","0","0","0","0","0","0","3","","","","","","23030965","6.02738","7.39567","2.1875","0","2832","thing","Alien Frontiers: Faction Pack #1","2","5","90","90","90","2012","3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Factions","93193","0","","0","1","0","0","0","0","0","0","0","3","","","","","","23030964","6.61272","7.67491","2.5075","0","4923","thing","Alien Frontiers: Factions","2","5","60","60","60","2012","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Alien Frontiers: Outer Belt","70647","0","","0","1","0","0","0","0","0","0","0","3","","","","","","28836196","5.96106","7.46395","2.6","0","2209","thing","Alien Frontiers: Outer Belt","2","6","60","60","60","2014","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Among the Stars","110277","9","","0","1","0","0","0","0","0","0","0","1","","","","","","21734808","6.83617","7.12369","2.2355","522","8805","thing","Among the Stars","2","4","30","30","30","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Among the Stars: Expanding the Alliance","153137","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073305","5.99724","7.41987","2.375","0","2553","thing","Among the Stars: Expanding the Alliance","2","6","30","30","30","2014","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Among the Stars: Revival","170318","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073300","5.90534","7.21451","2.2857","2739","1960","thing","Among the Stars: Revival","2","6","30","30","30","2015","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Among the Stars: The Ambassadors","139630","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34054651","6.20661","7.31712","2.5152","0","3923","thing","Among the Stars: The Ambassadors","2","4","30","30","30","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The Ancient World","147253","7","","0","1","0","0","0","0","0","0","0","3","","","","","","25884427","6.40807","7.0848","2.7157","1122","2844","thing","The Ancient World","2","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Android: Netrunner","124742","7","","0","1","0","0","0","0","0","0","0","3","","","","","","21769581","7.69323","7.88561","3.3794","46","39121","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Anima: Shadow of Omega","24935","5","","0","1","0","0","0","0","0","0","0","1","","","","","","30002319","5.61498","5.84952","2.1921","6200","2283","thing","Anima: Shadow of Omega","2","5","60","60","60","2006","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Antike Duellum","104955","8","","0","1","0","0","0","0","0","0","0","3","","","","","","36073315","6.35738","7.13733","2.886","1219","2076","thing","Antike Duellum","2","2","75","75","75","2012","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Aquaretto","34194","7","","0","0","0","0","0","0","0","0","1","3","","","","","","23896214","6.44372","6.99895","2.1111","1058","2980","thing","Aquaretto","2","5","45","45","45","2008","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arboretum","140934","7","","0","1","0","0","0","0","0","0","0","3","","","","","","30002250","7.15397","7.4147","2.1495","248","16160","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest","155068","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46810807","7.38437","7.77803","2.5251","131","13190","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Argent: Mancers of the University","152230","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073318","6.11002","8.0999","3.75","0","1945","thing","Argent: Mancers of the University","2","6","180","180","60","2015","3,4,5","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Argent: The Consortium","144797","9","","0","1","0","0","0","0","0","1","0","3","","","","","","21770717","6.94483","7.7036","3.8037","413","3953","thing","Argent: The Consortium","2","5","150","150","60","2015","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","5","","0","1","0","0","0","0","0","0","0","3","","","","","","48587162","7.91536","8.19555","3.3355","21","37034","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Artifacts, Inc.","168609","7","","0","1","0","0","0","0","0","0","0","3","","","","","","30098620","6.39299","6.84442","2.17","1142","4816","thing","Artifacts, Inc.","2","4","60","60","60","2014","2,3","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Asante","136056","7","","0","1","0","0","0","0","0","0","0","1","","","","","","23404986","6.21006","6.90453","2","1579","2726","thing","Asante","2","2","40","40","40","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ascension: Deckbuilding Game","69789","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","21735278","6.8047","7.03242","2.1505","570","11822","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Asgard","131118","8","","0","1","0","0","0","0","0","0","0","2","","","","","","24804245","5.99574","6.88641","3.7952","2310","1782","thing","Asgard","2","4","120","120","60","2012","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ashes: Rise of the Phoenixborn","167400","6","","0","1","0","0","0","0","0","0","0","3","","","","","","30002419","6.85648","7.34637","2.9079","500","8329","thing","Ashes: Rise of the Phoenixborn","2","4","120","120","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"At the Gates of Loyang","39683","7","","0","1","0","0","0","0","0","0","0","3","","","","","","26348265","7.12328","7.38315","3.1373","265","11178","thing","At the Gates of Loyang","1","4","120","120","60","2009","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Automobiles","180680","0","","0","0","0","0","0","0","0","0","1","3","","","","","","31253068","6.69193","7.37324","2.1607","697","2715","thing","Automobiles","2","5","75","75","45","2016","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","8","","0","1","0","0","0","0","0","1","0","3","","","","","","47494082","7.74527","7.87716","1.7881","41","52563","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","5","","0","1","0","0","0","0","0","0","0","3","","","","","","36073330","6.8381","6.98001","1.2767","519","26681","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Barony","167513","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054108","6.43512","7.10408","2.2527","1081","2686","thing","Barony","2","4","45","45","45","2015","2,3,4","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Baseball Highlights: 2045","151022","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46956628","6.94025","7.57378","2.2017","419","3920","thing","Baseball Highlights: 2045","1","4","45","45","45","2015","1,2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Baseball Highlights: 2045 – Super Deluxe Edition","186567","8","","0","1","0","0","0","0","0","0","0","3","","","","","","34054645","6.08639","7.89843","2.125","0","872","thing","Baseball Highlights: 2045 – Super Deluxe Edition","1","4","60","60","45","2015","1,2,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"BATTALIA: The Creation","178944","8","","0","1","0","0","0","0","0","0","0","3","","","","","","34054113","6.01248","7.5008","3.4853","2246","1409","thing","BATTALIA: The Creation","2","4","180","180","60","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Line","760","6","","0","1","0","0","0","0","0","0","0","3","","","","","","34054268","7.23188","7.41706","1.9076","203","18018","thing","Battle Line","2","2","30","30","30","2000","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Battle of Five Armies","135219","7","","0","1","0","0","0","0","0","0","0","1","","","","","","24834093","6.90538","7.88166","3.5462","453","4641","thing","The Battle of Five Armies","2","2","240","240","90","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleCON: Fate of Indines","162388","9","","0","1","0","0","0","0","0","0","0","3","","","","","","29982869","6.28308","8.02578","3.1667","1394","2032","thing","BattleCON: Fate of Indines","2","2","60","60","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleCON: War of Indines","89409","9","","0","1","0","0","0","0","0","0","0","3","","","","","","29982876","6.71869","7.77947","2.75","662","3237","thing","BattleCON: War of Indines","2","2","30","30","30","2010","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleCON: War of Indines Extended Edition","162390","9","","0","1","0","0","0","0","0","0","0","3","","","","","","29982875","5.64946","7.78229","3","0","761","thing","BattleCON: War of Indines Extended Edition","2","2","0","0","0","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"BattleLore (Second Edition)","146439","7","","0","1","0","0","0","0","0","0","0","2","","","","","","24876879","7.25363","7.79064","2.7023","191","8535","thing","BattleLore (Second Edition)","2","2","90","90","45","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Beasty Bar","165950","6","","0","1","0","0","0","0","0","0","0","3","","","","","","28836081","6.38739","6.82576","1.4184","1162","4007","thing","Beasty Bar","2","4","20","20","20","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","5","","0","0","0","0","0","0","0","0","0","3","","","","","","46956645","6.87491","7.07094","2.3737","482","50229","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","7","","0","1","0","0","0","0","0","0","0","3","","","","","","25166849","7.03462","7.20244","1.6793","328","17180","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Big Book of Madness","171233","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073357","6.64648","7.01394","2.7154","748","8470","thing","The Big Book of Madness","2","5","90","90","60","2015","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Bowl: Team Manager – The Card Game","90137","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21784606","7.12036","7.38107","2.3316","268","12819","thing","Blood Bowl: Team Manager – The Card Game","2","4","90","90","90","2011","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage","170216","8","","3","1","0","0","0","0","0","0","0","3","","","","","","30825007","7.82606","8.00585","2.8718","31","33756","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Bloody Inn","180593","7","","0","1","0","0","0","0","0","0","0","2","","","","","","31253081","6.64195","6.96576","2.3719","753","7379","thing","The Bloody Inn","1","4","60","60","30","2015","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Blue Moon Legends","147154","7","","0","1","0","0","0","0","0","0","0","3","","","","","","24699311","6.46274","7.29342","2.2714","0","3627","thing","Blue Moon Legends","2","2","30","30","30","2014","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","9","","0","0","0","0","0","0","0","0","0","3","","","","","","65380337","8.18733","8.62209","3.9155","5","15142","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BraveRats","112373","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073364","6.06673","6.47026","1.1398","2014","3557","thing","BraveRats","2","2","15","15","15","2011","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Broom Service","172308","6","","0","1","0","0","0","0","0","0","0","3","","","","","","34054265","6.91275","7.20724","2.4123","447","11191","thing","Broom Service","2","5","75","75","30","2015","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bruges","136888","7","","0","1","0","0","0","0","0","0","0","2","","","","","","28836305","7.18906","7.4465","2.7556","229","10388","thing","Bruges","2","4","60","60","60","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Bruxelles 1893","144592","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46956538","7.11968","7.64414","3.5993","270","5098","thing","Bruxelles 1893","2","5","125","125","50","2013","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"But Wait, There's More!","114438","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34054304","5.84334","6.77737","1.0952","3122","851","thing","But Wait, There's More!","3","10","30","30","30","2011","3,4,5,6,7,8,9,10","5","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Cadwallon: City of Thieves","69120","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21751541","5.88845","6.3015","2.3303","2831","2857","thing","Cadwallon: City of Thieves","2","4","45","45","45","2010","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cadwallon: City of Thieves – The King of Ashes","124486","0","","0","1","0","0","0","0","0","0","0","3","","","","","","21751517","5.63443","6.95843","2.3333","0","817","thing","Cadwallon: City of Thieves – The King of Ashes","2","4","60","60","60","2012","3,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Can't Stop","41","6","","0","1","0","0","0","0","0","0","0","1","","","","","","34054121","6.69655","6.85294","1.1587","692","10523","thing","Can't Stop","2","4","30","30","30","1980","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Hunters and Gatherers","4390","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30589256","6.91318","7.13654","1.9199","445","13198","thing","Carcassonne: Hunters and Gatherers","2","5","35","35","35","2002","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Winter Edition","131014","7","","0","1","0","0","0","0","0","0","0","3","","","","","","28836359","6.53532","7.51228","1.8333","912","2996","thing","Carcassonne: Winter Edition","2","5","40","40","40","2012","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Humanity","50381","5","","0","1","0","0","0","0","0","0","0","3","","","","","","21735396","5.8184","5.99041","1.2136","3299","34635","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10,11","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cargo Noir","90305","6","","0","1","0","0","0","0","0","0","0","2","","","","","","30161991","6.14353","6.48329","2.0819","1771","3618","thing","Cargo Noir","2","5","90","90","30","2011","2,3,4,5","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Carnival Zombie","140343","0","","0","0","0","0","0","0","0","0","1","4","","","","","","21770787","6.0782","7.18562","3.3208","1972","1054","thing","Carnival Zombie","1","6","120","120","120","2013","1,2,3,4,6","3,6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Carson City","39938","0","","0","0","0","0","0","0","0","0","1","2","","","","","","28888337","6.96227","7.2656","3.1838","401","5510","thing","Carson City","2","5","90","90","90","2009","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","9","","0","1","0","0","0","0","0","0","0","3","","","","","","21734972","8.01154","8.12879","3.0024","15","54782","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735376","7.01727","7.17596","2.3343","348","133020","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Caverna: The Cave Farmers","102794","0","","0","0","0","0","0","0","0","0","1","2","","","","","","21734883","7.88164","8.04639","3.7862","25","31631","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Caylus","18602","7","","0","0","0","0","0","0","0","0","0","3","","","","","","46810719","7.64604","7.80194","3.8095","54","25685","thing","Caylus","2","5","150","150","60","2005","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Champions of Midgard","172287","7","","0","1","0","0","0","0","0","0","0","3","","","","","","31253079","7.47325","7.77965","2.6","97","15249","thing","Champions of Midgard","2","4","90","90","60","2015","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Chaos in the Old World","43111","7","","0","1","0","0","0","0","0","0","0","2","","","","","","21784595","7.43329","7.67265","3.1837","108","14142","thing","Chaos in the Old World","3","4","120","120","60","2009","3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Charterstone","197376","0","","0","0","0","0","0","0","0","1","0","3","","","","","","47493387","7.20836","7.53187","2.8535","219","18506","thing","Charterstone","1","6","75","75","45","2017","2,3,4,5,6","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Chosŏn","161943","5","","0","1","0","0","0","0","0","0","0","3","","","","","","28836084","5.76476","6.67397","2.1579","3774","1089","thing","Chosŏn","2","4","15","15","15","2014","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicle","54307","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735272","6.22249","6.82887","1.9892","1543","2738","thing","Chronicle","3","6","30","30","30","2009","3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"City of Iron","123499","7","1","4","1","0","0","0","0","0","0","0","3","","","","","","21734950","6.43213","7.22697","3.2328","1087","2187","thing","City of Iron","2","4","120","120","120","2013","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"City of Iron: Experts and Engines","151986","0","","0","1","0","0","0","0","0","0","0","1","","","","","","22600308","5.68384","7.50763","3.0833","0","809","thing","City of Iron: Experts and Engines","2","4","120","120","120","2014","2,3,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"City of Remnants","133528","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21734982","6.0834","6.82229","3.1408","1953","2015","thing","City of Remnants","2","4","90","90","90","2013","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank!: A Deck-Building Adventure","201808","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46810747","7.61864","7.8077","2.1912","59","26874","thing","Clank!: A Deck-Building Adventure","2","4","60","60","30","2016","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Clans of Caledonia","216132","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46956566","7.71652","8.02954","3.4299","45","13816","thing","Clans of Caledonia","1","4","120","120","30","2017","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
